DATE,ASPUS
1/1/63,19300
4/1/63,19400
7/1/63,19200
10/1/63,19600
1/1/64,19600
4/1/64,20200
7/1/64,20500
10/1/64,20900
1/1/65,21500
4/1/65,21000
7/1/65,21600
10/1/65,21700
1/1/66,22700
4/1/66,23200
7/1/66,23000
10/1/66,22800
1/1/67,24000
4/1/67,24200
7/1/67,23900
10/1/67,24400
1/1/68,25400
4/1/68,26700
7/1/68,26600
10/1/68,27000
1/1/69,27600
4/1/69,28100
7/1/69,28100
10/1/69,27100
1/1/70,27000
4/1/70,27300
7/1/70,26000
10/1/70,26300
1/1/71,27300
4/1/71,28600
7/1/71,28300
10/1/71,28200
1/1/72,29000
4/1/72,29400
7/1/72,30300
10/1/72,31600
1/1/73,32800
4/1/73,35100
7/1/73,35900
10/1/73,36600
1/1/74,38000
4/1/74,38600
7/1/74,39000
10/1/74,39300
1/1/75,40900
4/1/75,42600
7/1/75,42200
10/1/75,44400
1/1/76,46000
4/1/76,47800
7/1/76,48100
10/1/76,50300
1/1/77,51600
4/1/77,54300
7/1/77,54000
10/1/77,57500
1/1/78,59300
4/1/78,61600
7/1/78,63500
10/1/78,66400
1/1/79,68300
4/1/79,72400
7/1/79,74200
10/1/79,72700
1/1/80,73600
4/1/80,74400
7/1/80,77500
10/1/80,80000
1/1/81,80900
4/1/81,84300
7/1/81,83800
10/1/81,83700
1/1/82,81200
4/1/82,85700
7/1/82,83900
10/1/82,84600
1/1/83,86700
4/1/83,89100
7/1/83,92500
10/1/83,90800
1/1/84,94700
4/1/84,99200
7/1/84,98500
10/1/84,97800
1/1/85,98500
4/1/85,100500
7/1/85,100500
10/1/85,103800
1/1/86,106300
4/1/86,112000
7/1/86,114400
10/1/86,115600
1/1/87,120800
4/1/87,126100
7/1/87,129900
10/1/87,133500
1/1/88,137900
4/1/88,134800
7/1/88,141500
10/1/88,140400
1/1/89,144300
4/1/89,146800
7/1/89,150200
10/1/89,151200
1/1/90,149500
4/1/90,151200
7/1/90,145500
10/1/90,150100
1/1/91,151100
4/1/91,148200
7/1/91,145400
10/1/91,144400
1/1/92,144500
4/1/92,145300
7/1/92,141700
10/1/92,147200
1/1/93,144700
4/1/93,148900
7/1/93,148000
10/1/93,148300
1/1/94,153600
4/1/94,154200
7/1/94,152800
10/1/94,156100
1/1/95,153500
4/1/95,158900
7/1/95,157700
10/1/95,160900
1/1/96,161100
4/1/96,166000
7/1/96,164000
10/1/96,171000
1/1/97,172200
4/1/97,177200
7/1/97,174700
10/1/97,175400
1/1/98,180000
4/1/98,178800
7/1/98,184300
10/1/98,181500
1/1/99,189100
4/1/99,191800
7/1/99,193000
10/1/99,204800
1/1/00,202900
4/1/00,202400
7/1/00,204100
10/1/00,212100
1/1/01,211000
4/1/01,211200
7/1/01,207800
10/1/01,214200
1/1/02,227600
4/1/02,227600
7/1/02,219100
10/1/02,232500
1/1/03,233100
4/1/03,241000
7/1/03,248100
10/1/03,256000
1/1/04,262900
4/1/04,265300
7/1/04,274000
10/1/04,286300
1/1/05,288500
4/1/05,287800
7/1/05,294600
10/1/05,294200
1/1/06,305300
4/1/06,302600
7/1/06,308100
10/1/06,299600
1/1/07,322100
4/1/07,310100
7/1/07,301200
10/1/07,305800
1/1/08,290400
4/1/08,304200
7/1/08,285100
10/1/08,276600
1/1/09,257000
4/1/09,273400
7/1/09,274100
10/1/09,272900
1/1/10,275300
4/1/10,268800
7/1/10,266000
10/1/10,278000
1/1/11,268100
4/1/11,267600
7/1/11,263000
10/1/11,259700
1/1/12,278000
4/1/12,282700
7/1/12,294500
10/1/12,297700
1/1/13,307400
4/1/13,320400
7/1/13,324400
10/1/13,334400
1/1/14,331400
4/1/14,340600
7/1/14,340400
10/1/14,369400
1/1/15,348000
4/1/15,339700
7/1/15,347400
10/1/15,366700
1/1/16,357000
4/1/16,357900
7/1/16,358800
10/1/16,364900
1/1/17,374800
4/1/17,376900
7/1/17,373200
10/1/17,399700
1/1/18,374600
4/1/18,378400
7/1/18,392900
10/1/18,384000
1/1/19,375500
4/1/19,376700
7/1/19,382700
10/1/19,384600
1/1/20,383000
4/1/20,374500
7/1/20,397800
10/1/20,403900
1/1/21,418600
4/1/21,440600
7/1/21,473000
10/1/21,497300
1/1/22,514100
4/1/22,527500
7/1/22,547800
10/1/22,552600
1/1/23,505300
4/1/23,503000
7/1/23,521900
10/1/23,492300
